Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala;turno_tipo;necessita_sala;turma_ano;turma_num;turma_regime;sala_edificio;Dia_dt;num_sequencia;aula_id;Dia_iso
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T03;MEI-A1;39;Qui;14:30:00;16:00:00;29/09/2022;Sala Aulas Mestrado;C3.02;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Diurno;C;2022-09-29;3;00010T03_29092022;2022-09-29
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T03;MEI-A1;39;Qui;13:00:00;14:30:00;29/09/2022;Sala Aulas Mestrado;C3.02;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Diurno;C;2022-09-29;4;00010T03_29092022;2022-09-29
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T03;MEI-A1;39;Qui;14:30:00;16:00:00;06/10/2022;Sala Aulas Mestrado;C3.02;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Diurno;C;2022-10-06;5;00010T03_06102022;2022-10-06
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T03;MEI-A1;39;Qui;13:00:00;14:30:00;06/10/2022;Sala Aulas Mestrado;C3.02;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Diurno;C;2022-10-06;6;00010T03_06102022;2022-10-06
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T03;MEI-A1;39;Qui;14:30:00;16:00:00;13/10/2022;Sala Aulas Mestrado;C3.02;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Diurno;C;2022-10-13;7;00010T03_13102022;2022-10-13
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T03;MEI-A1;39;Qui;13:00:00;14:30:00;13/10/2022;Sala Aulas Mestrado;C3.02;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Diurno;C;2022-10-13;8;00010T03_13102022;2022-10-13
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T04;MEI-PL-A1;50;Qui;19:30:00;21:00:00;22/09/2022;Sala Aulas Mestrado;C4.07;68.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;C;2022-09-22;1;00010T04_22092022;2022-09-22
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T04;MEI-PL-A1;50;Qui;18:00:00;19:30:00;22/09/2022;Sala Aulas Mestrado;C4.07;68.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;C;2022-09-22;2;00010T04_22092022;2022-09-22
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T04;MEI-PL-A1;50;Qui;19:30:00;21:00:00;29/09/2022;Sala Aulas Mestrado;C4.07;68.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;C;2022-09-29;3;00010T04_29092022;2022-09-29
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T04;MEI-PL-A1;50;Qui;18:00:00;19:30:00;29/09/2022;Sala Aulas Mestrado;C4.07;68.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;C;2022-09-29;4;00010T04_29092022;2022-09-29
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T04;MEI-PL-A1;50;Qui;19:30:00;21:00:00;06/10/2022;Sala Aulas Mestrado;C4.07;68.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;C;2022-10-06;5;00010T04_06102022;2022-10-06
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T04;MEI-PL-A1;50;Qui;18:00:00;19:30:00;06/10/2022;Sala Aulas Mestrado;C4.07;68.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;C;2022-10-06;6;00010T04_06102022;2022-10-06
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T04;MEI-PL-A1;50;Qui;19:30:00;21:00:00;13/10/2022;Sala Aulas Mestrado;C4.07;68.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;C;2022-10-13;7;00010T04_13102022;2022-10-13
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T04;MEI-PL-A1;50;Qui;18:00:00;19:30:00;13/10/2022;Sala Aulas Mestrado;C4.07;68.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;C;2022-10-13;8;00010T04_13102022;2022-10-13
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T05;MEI-A2;9;Ter;16:00:00;17:30:00;20/09/2022;Sala Aulas Mestrado;AA2.28;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;2.0;Diurno;AA;2022-09-20;1;00010T05_20092022;2022-09-20
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T05;MEI-A2;9;Ter;14:30:00;16:00:00;20/09/2022;Sala Aulas Mestrado;AA2.28;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;2.0;Diurno;AA;2022-09-20;2;00010T05_20092022;2022-09-20
